Series, N, Max Depth, Insertion Time, Deletion Time, Search Time, Mean Depth
1,1024,26,0.000215,0.000349,0.000186,4.60
2,2048,25,0.000214,0.00035,0.000259,11.65
3,4096,28,0.000255,0.000395,0.00029,13.69
4,8192,34,0.000347,0.000508,0.000364,15.59
5,16384,33,0.000377,0.000537,0.000498,17.70
6,32768,36,0.000524,0.000564,0.000557,20.46
7,65536,46,0.000525,0.000629,0.000615,21.47
8,131072,38,0.001,0.000811,0.00099,21.09
9,262144,45,0.00145,0.000884,0.001368,23.69
Series, N, Max Depth, Insertion Time, Deletion Time, Search Time, Mean Depth
1,1024,13,0.000517,0.00067,0.000171,3.82
2,2048,14,0.000553,0.00078,0.000239,9.48
3,4096,15,0.000567,0.000884,0.000267,11.11
4,8192,16,0.000563,0.001071,0.000298,12.35
5,16384,18,0.000653,0.001156,0.000339,13.54
6,32768,18,0.000619,0.0012,0.000397,14.52
7,65536,20,0.000661,0.00137,0.000552,15.58
8,131072,21,0.000674,0.001618,0.0006,16.64
9,262144,22,0.000789,0.002297,0.000894,17.64
