
--- MASSIVE 1000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0020000000 999 4316 1999 11 8000
2 0.0020000000 999 4335 1999 11 8000
3 0.0010000000 999 4332 1999 11 8000
4 0.0020000000 999 4360 1999 11 8000
5 0.0020000000 999 4311 1999 11 8000
6 0.0020000000 999 4323 1999 11 8000
7 0.0020000000 999 4297 1999 11 8000
8 0.0020000000 999 4330 1999 11 8000
9 0.0020000000 999 4317 1999 11 8000
10 0.0010000000 999 4341 1999 11 8000
11 0.0020000000 999 4334 1999 11 8000
12 0.0020000000 999 4282 1999 11 8000
13 0.0020000000 999 4320 1999 11 8000
14 0.0010000000 999 4318 1999 11 8000
15 0.0020000000 999 4298 1999 11 8000
16 0.0020000000 999 4313 1999 11 8000
17 0.0020000000 999 4340 1999 11 8000
18 0.0010000000 999 4323 1999 11 8000
19 0.0010000000 999 4294 1999 11 8000
20 0.0020000000 999 4328 1999 11 8000

--- MASSIVE 2000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0030000000 1999 9682 3999 12 16000
2 0.0030000000 1999 9675 3999 12 16000
3 0.0030000000 1999 9580 3999 12 16000
4 0.0030000000 1999 9574 3999 12 16000
5 0.0030000000 1999 9620 3999 12 16000
6 0.0030000000 1999 9642 3999 12 16000
7 0.0030000000 1999 9606 3999 12 16000
8 0.0030000000 1999 9608 3999 12 16000
9 0.0030000000 1999 9597 3999 12 16000
10 0.0030000000 1999 9611 3999 12 16000
11 0.0030000000 1999 9671 3999 12 16000
12 0.0040000000 1999 9640 3999 12 16000
13 0.0040000000 1999 9614 3999 12 16000
14 0.0030000000 1999 9631 3999 12 16000
15 0.0030000000 1999 9680 3999 12 16000
16 0.0030000000 1999 9572 3999 12 16000
17 0.0030000000 1999 9615 3999 12 16000
18 0.0040000000 1999 9569 3999 12 16000
19 0.0030000000 1999 9600 3999 12 16000
20 0.0030000000 1999 9632 3999 12 16000

--- MASSIVE 4000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0070000000 3999 21202 7999 13 32000
2 0.0060000000 3999 21298 7999 13 32000
3 0.0070000000 3999 21235 7999 13 32000
4 0.0070000000 3999 21262 7999 13 32000
5 0.0060000000 3999 21298 7999 13 32000
6 0.0060000000 3999 21208 7999 13 32000
7 0.0060000000 3999 21266 7999 13 32000
8 0.0060000000 3999 21306 7999 13 32000
9 0.0060000000 3999 21227 7999 13 32000
10 0.0060000000 3999 21234 7999 13 32000
11 0.0060000000 3999 21308 7999 13 32000
12 0.0060000000 3999 21304 7999 13 32000
13 0.0060000000 3999 21280 7999 13 32000
14 0.0060000000 3999 21272 7999 13 32000
15 0.0060000000 3999 21344 7999 13 32000
16 0.0060000000 3999 21297 7999 13 32000
17 0.0060000000 3999 21223 7999 13 32000
18 0.0060000000 3999 21304 7999 13 32000
19 0.0060000000 3999 21323 7999 13 32000
20 0.0060000000 3999 21295 7999 13 32000

--- MASSIVE 8000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0120000000 7999 46414 15999 14 64000
2 0.0120000000 7999 46566 15999 14 64000
3 0.0120000000 7999 46523 15999 14 64000
4 0.0130000000 7999 46521 15999 14 64000
5 0.0120000000 7999 46372 15999 14 64000
6 0.0120000000 7999 46589 15999 14 64000
7 0.0120000000 7999 46469 15999 14 64000
8 0.0120000000 7999 46501 15999 14 64000
9 0.0120000000 7999 46442 15999 14 64000
10 0.0120000000 7999 46595 15999 14 64000
11 0.0120000000 7999 46477 15999 14 64000
12 0.0120000000 7999 46556 15999 14 64000
13 0.0120000000 7999 46534 15999 14 64000
14 0.0130000000 7999 46557 15999 14 64000
15 0.0140000000 7999 46590 15999 14 64000
16 0.0140000000 7999 46615 15999 14 64000
17 0.0140000000 7999 46534 15999 14 64000
18 0.0140000000 7999 46449 15999 14 64000
19 0.0140000000 7999 46529 15999 14 64000
20 0.0150000000 7999 46448 15999 14 64000

--- MASSIVE 16000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0360000000 15999 100952 31999 15 128000
2 0.0410000000 15999 101018 31999 15 128000
3 0.0290000000 15999 100990 31999 15 128000
4 0.0290000000 15999 100872 31999 15 128000
5 0.0300000000 15999 101054 31999 15 128000
6 0.0310000000 15999 101054 31999 15 128000
7 0.0290000000 15999 101054 31999 15 128000
8 0.0270000000 15999 100845 31999 15 128000
9 0.0260000000 15999 100992 31999 15 128000
10 0.0260000000 15999 100969 31999 15 128000
11 0.0270000000 15999 101036 31999 15 128000
12 0.0260000000 15999 101034 31999 15 128000
13 0.0240000000 15999 101000 31999 15 128000
14 0.0250000000 15999 101130 31999 15 128000
15 0.0260000000 15999 101044 31999 15 128000
16 0.0240000000 15999 101171 31999 15 128000
17 0.0250000000 15999 100959 31999 15 128000
18 0.0250000000 15999 101014 31999 15 128000
19 0.0250000000 15999 100914 31999 15 128000
20 0.0260000000 15999 101189 31999 15 128000

--- MASSIVE 32000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.0590000000 31999 217989 63999 16 256000
2 0.0560000000 31999 217952 63999 16 256000
3 0.0550000000 31999 217837 63999 16 256000
4 0.0530000000 31999 218153 63999 16 256000
5 0.0540000000 31999 218116 63999 16 256000
6 0.0550000000 31999 217955 63999 16 256000
7 0.0530000000 31999 217997 63999 16 256000
8 0.0530000000 31999 218054 63999 16 256000
9 0.0540000000 31999 218071 63999 16 256000
10 0.0520000000 31999 217843 63999 16 256000
11 0.0550000000 31999 217935 63999 16 256000
12 0.0630000000 31999 218149 63999 16 256000
13 0.0560000000 31999 218008 63999 16 256000
14 0.0590000000 31999 218076 63999 16 256000
15 0.0510000000 31999 217948 63999 16 256000
16 0.0530000000 31999 218005 63999 16 256000
17 0.0520000000 31999 217915 63999 16 256000
18 0.0520000000 31999 218121 63999 16 256000
19 0.0510000000 31999 218146 63999 16 256000
20 0.0570000000 31999 218087 63999 16 256000

--- MASSIVE 64000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.1070000000 63999 467984 127999 17 512000
2 0.1050000000 63999 468024 127999 17 512000
3 0.1020000000 63999 468391 127999 17 512000
4 0.1020000000 63999 467859 127999 17 512000
5 0.1100000000 63999 467789 127999 17 512000
6 0.1270000000 63999 468240 127999 17 512000
7 0.1100000000 63999 468060 127999 17 512000
8 0.1090000000 63999 468156 127999 17 512000
9 0.1050000000 63999 468317 127999 17 512000
10 0.1030000000 63999 467950 127999 17 512000
11 0.1040000000 63999 467982 127999 17 512000
12 0.1010000000 63999 468176 127999 17 512000
13 0.1020000000 63999 467911 127999 17 512000
14 0.1020000000 63999 467942 127999 17 512000
15 0.1010000000 63999 468206 127999 17 512000
16 0.1010000000 63999 467904 127999 17 512000
17 0.1010000000 63999 467657 127999 17 512000
18 0.1010000000 63999 468512 127999 17 512000
19 0.1010000000 63999 468372 127999 17 512000
20 0.1010000000 63999 468452 127999 17 512000

--- MASSIVE 128000 ---
TRY TIME PASS SWAP SUBCALLS MAX_DEPTH MAX_MEMORY
1 0.2100000000 127999 999845 255999 18 1024000
2 0.2080000000 127999 1000364 255999 18 1024000
3 0.2090000000 127999 1000624 255999 18 1024000
4 0.2070000000 127999 1000430 255999 18 1024000
5 0.2070000000 127999 1000452 255999 18 1024000
6 0.2080000000 127999 999973 255999 18 1024000
7 0.2090000000 127999 1000233 255999 18 1024000
8 0.2090000000 127999 999767 255999 18 1024000
9 0.2100000000 127999 1000211 255999 18 1024000
10 0.2100000000 127999 1000089 255999 18 1024000
11 0.2100000000 127999 1000249 255999 18 1024000
12 0.2090000000 127999 1000140 255999 18 1024000
13 0.2090000000 127999 999761 255999 18 1024000
14 0.2080000000 127999 999795 255999 18 1024000
15 0.2060000000 127999 1000462 255999 18 1024000
16 0.2070000000 127999 1000219 255999 18 1024000
17 0.2060000000 127999 1000234 255999 18 1024000
18 0.2070000000 127999 1000423 255999 18 1024000
19 0.2060000000 127999 1000512 255999 18 1024000
20 0.2080000000 127999 1000167 255999 18 1024000
